dardboard;title;describe;date;image;
Tin KHCN và HTQT;H?i th?o ?? xu?t m?t s? gi?i pháp nh?m kh?c ph?c xói l? t?i b? bi?n B?o Ninh, thành ph? ??ng H?i, t?nh Qu?ng Bình;Trong nh?ng ngày g?n ?ây, hi?n t??ng bãi bi?n khu v?c B?o Ninh, ??c bi?t là khu v?c bãi t?m liên t?c b? xói l? n?ng n?. Ghi nh?n th?i gian qua, m?c dù th?i ti?t không có m?a to gió l?n nh?ng bãi bi?n du l?ch B?o Ninh b? sóng bi?n làm xói l? bãi cát kh?i l??ng r?t l?n và di?n tích bãi cát b? n??c bi?n cu?n ?i t?o thành v?c l?n tr??c b? bi?n, tình tr?ng xói l? di?n ra r?t nhanh.;29/01/2024 15:34;;
;T?p hu?n v? an toàn ??p t?i Bình ??nh - D? án An toàn ??p Vi?t Nam – New Zealand pha 3;Trong khuôn kh? Pha 3 D? án An toàn ??p Vi?t Nam – New Zealand, Tr??ng ??i h?c Th?y l?i k?t h?p v?i Công ty Dam Watch và Vi?n GNS c?a New Zealand ?ã ti?n hành l?p t?p hu?n v? an toàn ??p cho các cán b? qu?n lý, k? s? tr?c ti?p qu?n lý các công trình h? ??p th?y l?i, th?y ?i?n trên ??a bàn t?nh Bình ??nh.;29/01/2024 15:17;;
;"
H?i ngh? Qu?c t? GEOTEC HANOI 2023 s?p di?n ra t?i Hà N?i, Vi?t Nam";H?i ngh? Qu?c t? l?n th? 5 v? ??a k? thu?t ?? phát tri?n c? s? h? t?ng b?n v?ng, GEOTEC HANOI 2023 (https://geotechn.vn/), s? chính th?c ???c t? ch?c t?i Trung tâm H?i ngh? Qu?c gia (NCC), Hà N?i, Vi?t Nam vào ngày 14 và 15 tháng 12 n?m 2023.;"09/12/2023 10:46

";;
;"
Tr??ng ??i h?c Th?y l?i nh?n D? án khoa h?c công ngh? 5,5 t? ??ng t? Qu? ??i m?i sáng t?o Vingroup";"Ngày 16/01/2024 t?i Hà N?i, Qu? ??i m?i sáng t?o Vingroup (VINIF) v?a thông báo phê duy?t tài tr? cho d? án “Nghiên c?u h? th?ng qu?n lý nhi?t dành cho pin, thi?t b? ?i?n t? công su?t và các thi?t b? công su?t khác c?a xe ?i?n” do TS. Phan Bình Nguyên, gi?ng viên Khoa C? khí, Tr??ng ??i h?c Th?y l?i làm ch? nhi?m.

";17/01/2024 16:08;;
;GS.Susan Solomon, Vi?n công ngh? Masachusetts, Hoa K? chia s? v? bi?n ??i khí h?u;Bi?n ??i khí h?u ?ang là v?n ?? gây nhi?u s? chú ý và ?nh h??ng tr?c ti?p ??n ??i s?ng. M?t trong nh?ng nguyên nhân d?n ??n s? bi?n ??i khí h?u ?ó là do l? th?ng t?ng ozone.;25/12/2023 17:40;;
;;;;;
Tin ?ào t?o;PGS TS Lê V?n Chính: Ngh? giáo v?a là “duyên”, v?a là thách th?c;"Trong hành trình h?n 8 n?m g?n bó v?i giáo d?c, PGS TS Lê V?n Chính – Ph? trách Khoa Kinh t? và Qu?n lý (Tr??ng ??i h?c Th?y L?i) ?ã truy?n c?m h?ng và ??ng hành cùng nhi?u th? h? sinh viên. V?i Th?y, gi?ng d?y không ch? là truy?n t?i ki?n th?c mà còn là quá trình chia s?, khích l?, h??ng d?n sinh viên trên con ???ng phát tri?n b?n thân và s? nghi?p.

";11/05/2024 8:44;;
;Tr??ng ??i h?c Th?y l?i t? ch?c thành công bu?i b?o v? lu?n án ti?n s? c?a NCS Ph?m Lan Anh;Sáng ngày 01/11/2024, t?i phòng 5, nhà K1, Tr??ng ??i h?c Th?y l?i, bu?i b?o v? lu?n án ti?n s? c?p Tr??ng c?a nghiên c?u sinh Ph?m Lan Anh ?ã di?n ra thành công.;11/04/2024 11:08;;
;L? ký k?t Biên b?n ghi nh? h?p tác gi?a Tr??ng ??i h?c Th?y l?i (TLU), H?i Th?y l?i Vi?t Nam (VWRA) và Hi?p h?i qu?c t? v? Nghiên c?u và k? thu?t th?y v?n môi tr??ng (IAHR).;Ngày 01/02/2024, t?i Tr??ng ??i h?c Th?y l?i (TLU) ?ã di?n ra L? ký k?t Biên b?n ghi nh? (MOU) h?p tác gi?a TLU, H?i Th?y l?i Vi?t Nam (VWRA) và Hi?p h?i qu?c t? v? Nghiên c?u và k? thu?t th?y v?n môi tr??ng (IAHR). L? ký k?t ?ánh d?u b??c ti?n quan tr?ng trong vi?c t?ng c??ng h?p tác nghiên c?u, ?ào t?o và trao ??i chuyên môn trong l?nh v?c tài nguyên n??c và môi tr??ng gi?a các bên.;02/02/2024 16:15;;
;Tr??ng ??i h?c Th?y l?i h?p tác v?i Ai20X và Wenet ?ào t?o ngu?n nhân l?c bán d?n;Ngày 18/12/2023, Tr??ng ??i h?c Th?y l?i ?ã có bu?i làm vi?c v?i T?p ?oàn Ai20X và Công ty Wenet (Hoa K?) v? “Mô hình ?ào t?o ngu?n nhân l?c chíp bán d?n - Semi conductor và gi?i pháp thúc ??y h? sinh thái công ngh? ??i m?i sáng t?o t? ?ng d?ng công ngh? ?i?n toán biên WENET”.;19/12/2023 10:39;;
;NCS T?ng Xuân Th? b?o v? lu?n án ti?n s? c?p Tr??ng;Ngày 9/12, Tr??ng ??i h?c Th?y l?i t? ch?c b?o v? lu?n án ti?n s? c?p Tr??ng cho NCS T?ng Xuân Th?;12/11/2023 11:04;;
;;;;;
Tin t?c chung;Tr??ng ??i h?c Th?y l?i g?p m?t LHS n??c ngoài nhân d?p Qu?c khánh;TLU – Chi?u 2/12, t?i P225/A2, Tr??ng ??i h?c Th?y l?i t? ch?c bu?i g?p m?t l?u h?c sinh nhân d?p Qu?c khánh n??c CHDCND Lào (02/12), V??ng qu?c C?mpuchia (09/11). Bu?i g?p có s? ch? trì c?a GS.TS Nguy?n Trung Vi?t – Phó Hi?u tr??ng Nhà tr??ng.;12/04/2024 10:25;;
;"
??i tuy?n Olympic V?t lý giành Gi?i Nhì toàn ?oàn";Sáng 1/12, t?i Tr??ng ??i h?c Khoa h?c (??i h?c Thái Nguyên) ?ã di?n ra L? b? m?c Olympic V?t lý sinh viên toàn qu?c l?n th? 26 n?m 2024.;12/02/2024 9:18;;
